,Country,Vaccinated,Deaths per Million,Total Deaths,Total Cases
159,Cabo Verde,321577,662,372,53987
160,Democratic Republic of the Congo,307807,13,1225,82306
161,Iceland,298878,119,44,44974
162,Papua New Guinea,288879,65,596,36435
163,Chad,285922,10,185,6558
164,Montenegro,285651,3939,2474,203746
165,Suriname,263209,2049,1213,63878
166,Gambia,263056,138,344,11122
167,Equatorial Guinea,249840,122,178,15319
168,South Sudan,245004,11,136,16489
169,Belize,230789,1501,608,40612
170,Solomon Islands,185485,0,0,25
171,New Caledonia,184033,974,281,13536
172,French Polynesia,173773,2251,636,47009
173,Bahamas,158965,1811,719,30850
174,Barbados,157495,934,269,35373
175,Samoa,141724,0,0,3
176,Haiti,125187,67,780,27082
177,Djibouti,108945,188,189,14900
178,Curaçao,105555,1225,202,32892
179,Vanuatu,102308,3,1,7
180,Sao Tome and Principe,86396,295,66,5525
181,Aruba,85244,1716,184,30677
182,Seychelles,82348,1374,136,31098
183,Tonga,73956,0,0,1
184,Kiribati,71152,0,0,2
185,Isle of Man,68978,819,70,19686
186,Antigua and Barbuda,62361,1215,120,5321
187,Cayman Islands,58939,225,15,11666
188,Andorra,57085,1835,142,29888
189,Saint Lucia,56499,1702,314,17250
190,Bermuda,46503,1771,110,8541
191,Grenada,41767,1796,203,9701
192,Faroe Islands,41557,305,15,10169
193,Gibraltar,41253,2968,100,10833
194,Greenland,40469,52,3,7871
195,Saint Vincent and the Grenadines,33494,763,85,6581
196,Dominica,30953,665,48,7957
197,Turks and Caicos Islands,29210,764,30,5110
198,Saint Kitts and Nevis,27781,522,28,4933
199,Monaco,26672,1113,44,6756
200,Liechtenstein,26428,1882,72,7201
201,San Marino,24418,3028,103,10350
202,Caribbean Netherlands,19109,983,26,5561
203,British Virgin Islands,18536,1380,42,5255
204,Cook Islands,12938,0,0,2
205,Anguilla,10157,396,6,2040
206,Wallis and Futuna,6130,630,7,454
207,Burundi,5474,3,38,36257
208,"Saint Helena, Ascension and Tristan da Cunha",4361,0,0,4
209,Falkland Islands,2632,0,0,85
210,Montserrat,1612,200,1,139
